,LYZ,GNB4,LOXL2,COL6A2,ADAMTS1,SDC2,response
ACH-000520,-0.357884570148448,0.618518325897392,0.115043624486669,0.760003694251194,0.270484003343347,-0.264706958106746,1
ACH-001385,-0.357565754505003,-0.404524879625252,-0.34229230082334,-0.245859360044114,-0.394273445596079,-0.35242571288353,1
ACH-000971,-0.356942269799696,-0.914139612065247,-0.324190977975829,-0.234631648166484,-0.468587831158986,-0.536015906704587,1
ACH-000354,0.325472608874296,-0.907237032627286,-0.350062956313573,-0.35217279803081,-0.46583921689844,-0.535809509634524,1
ACH-000282,-0.35740289629753,0.0312313794528318,0.0529236905093546,0.687173491982652,-0.175402310034094,-0.402580200908844,1
ACH-000400,0.452136269814153,-0.9171061782598,-0.350360189549818,-0.351706364896427,-0.467671626405471,-0.535809509634524,1
ACH-001389,-0.3582213277978,0.698810667061031,-0.10160587537659,-0.299632437107895,-0.277304638730627,-0.464602520462782,1
ACH-000111,-0.349759256742093,-0.483448932161375,-0.111913887761593,-0.35007384892609,1.17386189030942,-0.111044339444827,1
ACH-000950,-0.207963929088759,-0.909606792080048,-0.349202067367133,-0.349940582316266,-0.468384230102649,-0.533539141863831,1
ACH-000957,-0.0665153652034575,-0.917350723461313,-0.350878535315463,-0.35257259786028,-0.468282429574481,-0.532919950653642,1
ACH-000651,-0.349017423805507,-0.914564654915497,-0.349224722339408,-0.351139981804678,-0.468791432215323,-0.535706311099493,1
ACH-000966,-0.353326265532059,-0.126587613095424,-0.19177493052725,-0.304829834891012,-0.269669599118,0.820116042144492,1
ACH-000657,-0.356090369557635,0.589434914431665,-0.227771415974571,-0.192952515944185,-0.314360030983912,1.07295245297169,1
ACH-000699,-0.351803610299894,-0.445340638258835,0.171159990811179,1.12555400499705,-0.228949387850654,0.0749194206819547,1
ACH-001390,-0.357945296937675,-0.388425653858938,-0.325844790951885,-0.298233137704749,-0.328103102286642,-0.444788401736732,1
ACH-000207,-0.357295934339231,-0.418440666092337,-0.102987828685349,-0.351839631506251,0.0712603697178558,-0.534364730144083,1
ACH-000846,-0.357013692784753,-0.26789980454151,-0.251196657306644,-0.34877449948031,-0.458713179926655,-0.486480609889462,1
ACH-000085,-0.354858926882903,-0.724180393032344,-0.348522418198891,-0.34037870306143,0.308761001934652,-0.530030391672759,1
ACH-000900,-0.3549089574763,-0.297973041822888,-0.126036997477661,-0.318256445830729,-0.442323294891548,-0.523838479570869,1
ACH-000276,-0.357540221650442,0.996602674951847,-0.293085701042623,-0.138446472526375,2.15216496600741,1.98904584844641,0
ACH-000552,2.56732624709447,-0.916357986393264,-0.351331634760958,-0.35257259786028,-0.468791432215323,-0.536119105239619,0
ACH-000223,-0.357565754505003,-0.757773334464079,-0.259037543210929,-0.140345521716359,-0.46085099101819,-0.533539141863831,0
ACH-000019,-0.356461631064503,0.0258455625147341,-0.340366628179988,-0.33521462193077,-0.466857222180124,-0.408978510080798,0
ACH-000374,-0.35791079308016,1.59600043137613,-0.251581791835314,0.479410847267818,-0.367296305631462,0.878010420297169,0
ACH-000148,-0.358186823940285,1.63841737882915,4.98155821882179,5.63119813317215,4.91604930577853,4.61451977818307,0
ACH-000680,2.55338668865816,-0.905810518951789,-0.350538710731342,-0.352772497775015,-0.468893232743491,-0.536119105239619,0
ACH-000820,0.598536137252947,-0.908500516168439,-0.347866556751538,-0.34934088257206,-0.461665395243537,-0.533435943328799,0
ACH-000859,-0.357565754505003,0.408384127739615,-0.306134965072868,-0.351506464981692,-0.459425783623833,-0.533951936003957,0
ACH-000927,-0.353910070801223,-0.631515229173075,-0.350448090842243,-0.344876451142973,-0.404657099469252,-0.26842210536788,0
ACH-000696,-0.357742759294058,1.0468508913581,0.0705039489945465,-0.0256696039632393,0.76604897446695,0.481934442846232,0
ACH-001374,-0.357289723644878,2.86699500371919,0.0162226354242893,-0.130983542376259,-0.425628008271936,1.38368324195157,0
ACH-000811,-0.357693073739236,1.16030239734603,0.0699602296599529,-0.10569620316225,0.617318402812968,0.41826094673179,0
ACH-000147,-0.356634150352082,2.21196321395056,-0.35119570492731,-0.352072848073442,-0.467468025349134,-0.193293571864941,0
ACH-000624,-0.357659259958871,-0.0298758084015842,-0.34482965771811,0.0575887105239911,-0.375134946300427,-0.531062377023075,0
ACH-000617,-0.357496746789972,-0.299370442974394,-0.300471222004185,-0.248058259106202,0.91050392393786,0.86170505176219,0
ACH-000291,4.40503620223414,-0.912841193495306,-0.346484376893056,-0.349807315706443,-0.386231203870778,-0.519400942564514,0
ACH-001151,-0.295845254181055,-0.905784317680199,-0.15776755164565,-0.104130320496824,-0.467773426933639,-0.442827629571133,0
ACH-000288,-0.357876289222644,1.41529899497196,3.07763434885334,-0.0164408912329621,0.190875990315685,-0.233334603457167,0
